Product Name,Product URL,Image URL,Current Price (PKR),Original Price (PKR)
Men Peshawari-DARK/MAROON,https://www.borjan.com.pk/products/bm6905-dark-maroon-men-peshawari,"{'id': 40520122040495, 'created_at': '2025-04-10T12:33:11+05:00', 'position': 1, 'updated_at': '2025-04-24T18:32:34+05:00', 'product_id': 8181690826927, 'variant_ids': [44975543287983, 44975543320751, 44975543353519, 44975543386287, 44975543419055, 44975543451823], 'src': 'https://cdn.shopify.com/s/files/1/0083/8405/3305/files/B03009896-DARK-MAROON.png?v=1745501554', 'width': 1000, 'height': 1148}",5800.0,5800.0
Men Sandal-OLIVE,https://www.borjan.com.pk/products/bm5590-olive-men-sandal,"{'id': 37720065147055, 'created_at': '2024-04-02T10:52:15+05:00', 'position': 1, 'updated_at': '2025-04-24T20:18:53+05:00', 'product_id': 7789728202927, 'variant_ids': [43437497581743, 43437497614511, 43437497647279, 43437497680047, 43437497712815, 43437497745583], 'src': 'https://cdn.shopify.com/s/files/1/0083/8405/3305/files/1_d3bd054f-5634-4f97-9657-79d847c7845a.png?v=1745507933', 'width': 1000, 'height': 1148}",4620.0,6600.0
Men Sandal-BLACK,https://www.borjan.com.pk/products/bm5578-black-men-sandal,"{'id': 37566261526703, 'created_at': '2024-03-05T17:14:09+05:00', 'position': 1, 'updated_at': '2025-04-24T20:34:41+05:00', 'product_id': 7737738723503, 'variant_ids': [43251962511535, 43251962544303, 43251962577071, 43251962609839, 43251962642607, 43251962675375], 'src': 'https://cdn.shopify.com/s/files/1/0083/8405/3305/files/BM5578.png?v=1745508881', 'width': 1000, 'height': 1148}",3570.0000000000005,5100.0
Men Sandal-BLACK,https://www.borjan.com.pk/products/bm5523-black-men-sandal,"{'id': 37570460549295, 'created_at': '2024-03-06T16:38:43+05:00', 'position': 1, 'updated_at': '2025-04-24T20:31:28+05:00', 'product_id': 7751907999919, 'variant_ids': [43303922139311, 43303922172079, 43303922204847, 43303922237615, 43303922270383, 43303922303151], 'src': 'https://cdn.shopify.com/s/files/1/0083/8405/3305/files/1_0b5184d9-d44e-40e8-94ee-2b9fc1dcf1df.png?v=1745508688', 'width': 1000, 'height': 1148}",2940.0,4200.0
Men Sandal-ESPRESSO,https://www.borjan.com.pk/products/bm5522-espresso-men-sandal,"{'id': 37570470707375, 'created_at': '2024-03-06T16:40:35+05:00', 'position': 1, 'updated_at': '2025-04-24T20:31:29+05:00', 'product_id': 7751907934383, 'variant_ids': [43303921844399, 43303921877167, 43303921909935, 43303921942703, 43303921975471, 43303922008239], 'src': 'https://cdn.shopify.com/s/files/1/0083/8405/3305/files/1_cdfe4aeb-1f82-4d73-a31f-3fff7cb73c33.png?v=1745508689', 'width': 1000, 'height': 1148}",3290.0,4700.0
Men Sandal-BROWN,https://www.borjan.com.pk/products/bm5522-brown-men-sandal,"{'id': 37587676627119, 'created_at': '2024-03-09T10:04:48+05:00', 'position': 1, 'updated_at': '2025-04-24T20:30:25+05:00', 'product_id': 7754858627247, 'variant_ids': [43315136233647, 43315136266415, 43315136299183, 43315136331951, 43315136364719, 43315136397487], 'src': 'https://cdn.shopify.com/s/files/1/0083/8405/3305/files/1_0520e0d0-dc56-4596-8e51-1774476ea850.png?v=1745508625', 'width': 1000, 'height': 1148}",3290.0,4700.0
Men Sandal-ESPRESSO,https://www.borjan.com.pk/products/bm5578-espresso-men-sandal,"{'id': 37514186490031, 'created_at': '2024-02-26T15:31:42+05:00', 'position': 1, 'updated_at': '2025-04-24T20:34:43+05:00', 'product_id': 7737177505967, 'variant_ids': [43250700484783, 43250700550319, 43250700615855, 43250700714159, 43250700746927, 43250700779695], 'src': 'https://cdn.shopify.com/s/files/1/0083/8405/3305/files/1_0545d599-eac4-4e79-916d-89deee4b6b71.png?v=1745508883', 'width': 1000, 'height': 1148}",3570.0000000000005,5100.0
Men Sandal-BROWN,https://www.borjan.com.pk/products/bm5491-brown-men-sandal,"{'id': 37704814690479, 'created_at': '2024-03-30T15:00:40+05:00', 'position': 1, 'updated_at': '2025-04-24T20:21:15+05:00', 'product_id': 7783548485807, 'variant_ids': [43418925236399, 43418925269167, 43418925301935, 43418925334703, 43418925367471, 43418925400239, 43418925433007], 'src': 'https://cdn.shopify.com/s/files/1/0083/8405/3305/files/1_eb9cb43f-7d74-4c81-9280-ffc3fd665c4d.png?v=1745508075', 'width': 1000, 'height': 1148}",3080.0,4400.0
Men Sandal-ESPEROSO,https://www.borjan.com.pk/products/bm5587-esperoso-men-sandal,"{'id': 37928568881327, 'created_at': '2024-04-26T14:54:29+05:00', 'position': 1, 'updated_at': '2025-04-24T20:13:24+05:00', 'product_id': 7804443820207, 'variant_ids': [], 'src': 'https://cdn.shopify.com/s/files/1/0083/8405/3305/files/1_375f96fe-cee3-4e5e-b707-472a7a771553.png?v=1745507604', 'width': 1000, 'height': 1148}",3220.0000000000005,4600.0
Men Sandal-BEIGE,https://www.borjan.com.pk/products/bm4837-beige-men-sandal,"{'id': 37540052959407, 'created_at': '2024-03-01T16:10:45+05:00', 'position': 1, 'updated_at': '2025-04-24T20:33:17+05:00', 'product_id': 7741498720431, 'variant_ids': [43272525316271, 43272525349039, 43272525381807, 43272525414575, 43272525447343, 43272525480111, 43272525512879], 'src': 'https://cdn.shopify.com/s/files/1/0083/8405/3305/files/1_b7b26fa6-fbf5-4c2c-bebc-4d616af06c8a.png?v=1745508797', 'width': 1000, 'height': 1148}",2940.0,4200.0
Men Sandal-ESPREESO,https://www.borjan.com.pk/products/bm5586-espreeso-men-sandal,"{'id': 37838351827119, 'created_at': '2024-04-16T12:07:00+05:00', 'position': 1, 'updated_at': '2025-04-24T20:13:25+05:00', 'product_id': 7804443459759, 'variant_ids': [43501040730287, 43501040763055, 43501040795823, 43501040828591, 43501040894127, 43501040926895], 'src': 'https://cdn.shopify.com/s/files/1/0083/8405/3305/files/1_70dd66f0-a19a-4280-9f2c-2a2d7288a775.png?v=1745507605', 'width': 1000, 'height': 1148}",3220.0000000000005,4600.0
Men Sandal-ESPRESSO,https://www.borjan.com.pk/products/bm5576-espresso-men-sandal,"{'id': 37912484151471, 'created_at': '2024-04-24T16:26:09+05:00', 'position': 1, 'updated_at': '2025-04-24T20:09:16+05:00', 'product_id': 7861735784623, 'variant_ids': [43649001586863, 43649001619631, 43649001652399, 43649001685167, 43649001717935, 43649001750703], 'src': 'https://cdn.shopify.com/s/files/1/0083/8405/3305/files/1_592a813e-e0b2-490e-b92a-d010ca83926f.png?v=1745507356', 'width': 1000, 'height': 1148}",3220.0000000000005,4800.0
Men Casual Sandal-BROWN,https://www.borjan.com.pk/products/bm5731-brown-men-casual-sandal,"{'id': 37485907083439, 'created_at': '2024-02-21T15:43:11+05:00', 'position': 1, 'updated_at': '2025-04-24T20:37:10+05:00', 'product_id': 7730167447727, 'variant_ids': [43227124498607, 43227124531375, 43227124564143, 43227124596911, 43227124629679, 43227124662447, 43227124695215], 'src': 'https://cdn.shopify.com/s/files/1/0083/8405/3305/files/1_204b1f60-e22e-454b-9e05-41c49624a265.png?v=1745509030', 'width': 1000, 'height': 1148}",3290.0,4700.0
